EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG14372	ecnA	None	entericidin A membrane lipoprotein, antidote entericidin B	Null	Lipoprotein antitoxin to bacteriolytic lipoprotein entericidin B (ecnB) toxin	P0ADB4	b4410
EG14373	srlE	gutA, gutE, sbl, srlA	glucitol/sorbitol-specific enzyme IIB component of PTS	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Sorbitol-specific enzyme IIB component of PTS	P56580	b2703
EG14374	mdlB	mdl	putative multidrug ABC transporter ATPase	Null	ABC exporter permease-ATPase, function unknown	P0AAG5	b0449
EG14375	yeiW	None	UPF0153 cysteine cluster protein	Null	UPF0153 cysteine cluster protein, function unknown	P0AFT8	b4502
EG14376	ypdI	None	putative lipoprotein involved in colanic acid biosynthesis	Null	Colanic acid synthesis protein; possible lipoprotein	O32528	b2376
EG14377	ykfK'	yafY	CP4-6 prophage; putative DNA-binding transcriptional regulator	Phage or Prophage Related	Pseudogene, N-terminal fragment, CP4-6 putative prophage remnant	Null	b4628
EG14378	ykfL'	None	pseudogene, CP4-6 putative prophage remnant	Phage or Prophage Related	Pseudogene, C-terminal fragment, CP4-6 putative prophage remnant	Null	b4627
EG14379	ypjK	None	CP4-57 prophage; putative inner membrane protein	Phage or Prophage Related	Function unknown, CP4-57 putative defective prophage	P52134	b2635
EG14380	rzoD	Rz1	DLP12 prophage; putative lipoprotein	Phage or Prophage Related	Probable Rz1-like lipoprotein, DLP12 prophage	P58041	b4510
EG14381	rzoR	Rz1	Rac prophage; putative lipoprotein	Phage or Prophage Related	Probable Rz1-like lipoprotein, Rac prophage	P58042	b4528
EG14382	yobF	None	DUF2527 family heat-induced protein	Null	DUF2527 family heat-induced protein, function unknown	P64508	b1824
EG14383	mgrB	yobG	regulatory peptide for PhoPQ, feedback inhibition	Regulator; Not classified	Negative feedback regulator for PhoPQ regulon, membrane-bound	P64512	b1826
EG14384	yaaX	None	DUF2502 family putative periplasmic protein	Null	DUF2502 family putative periplasmic protein; function unknown	P75616	b0005
EG14385	ypeC	None	DUF2502 family putative periplasmic protein	Null	DUF2502 family putative periplasmic protein; function unknown	P64542	b2390
EG14386	yaaY	None	uncharacterized protein	Null	Function unknown	P75620	b0024
EG14387	yodD	None	uncharacterized protein	Null	Peroxide and acid resistance protein, stress-induced	P64519	b1953
EG14388	ynfN	None	Qin prophage; cold shock-induced protein	Phage or Prophage Related	Cold shock-induced protein, function unknown, Qin prophage	P76157	b1551
EG14389	blr	None	beta-lactam resistance membrane protein; divisome-associated protein	Null	Beta-lactam resistance protein; divisome-associated membrane protein; multi-copy suppressor of ftsQ1(Ts)	P56976	b4409
EG14393	yciY	None	uncharacterized protein	Null	Uncharacterized protein	A5A613	b4595
EG14394	yncL	None	stress-induced small inner membrane enterobacterial protein	Null	Small inner membrane stress-induced enterobacterial protein; function unknown	A5A615	b4598
EG14395	yneM	None	inner membrane-associated protein	Null	Expressed protein, membrane-associated, function unknown; regulated by PhoPQ and Mg(2+)	A5A616	b4599
EG14396	ypfM	None	stress-induced small enterobacterial protein	Null	Stress-induced enterobacterial small protein, function unknown	A5A621	b4606
EG14397	yibT	None	uncharacterized protein	Null	Function unknown; homologs in Salmonella, Klebsiella, and Yersinia	Q2M7R5	b4554
EG14398	ytjA	None	uncharacterized protein	Null	Function unknown; homologs widespread in Bacteria	Q2M5U1	b4568
EG14399	ypfN	None	putative membrane protein, UPF0370 family	Null	Predicted membrane protein, UPF0370 family, function unknown	Q2EET2	b4547
EG14400	ysaB	None	uncharacterized protein	Null	Possible lipoprotein, function unknown	Q2M7M3	b4553
EG14401	ytcA	None	putative inner membrane efflux pump-associated DUF1656 family protein	Null	DUF1656 family predicted inner membrane protein; efflux pump associated; function unknown; possible lipoprotein	A5A630	b4622
EG14402	tisB	ysdA, ysdB	toxic membrane persister formation peptide, LexA-regulated	Null	Toxin involved in persister formation, LexA regulon; membrane peptide that decreases proton motive force and ATP levels; expression regulated by the divergent istR-1 sRNA antitoxin	A5A627	b4618
EG14403	ldrA	None	toxic polypeptide, small	Null	Toxic peptide LdrA, in LDR-A repeat; proposed addiction module, with antisense sRNA rdlA	Q6BF86	b4419
EG14404	ldrB	None	toxic polypeptide, small	Null	Toxic peptide LdrB, in LDR-B repeat; proposed addiction module, with antisense sRNA rdlB	Q6BF87	b4421
EG14405	ldrC	None	toxic polypeptide, small	Null	Toxic peptide LdrC, in LDR-C repeat; proposed addiction module, with antisense sRNA rdlC	Q6BF86	b4423
EG14406	ldrD	None	toxic polypeptide, small	Null	Toxic peptide LdrD, in LDR-D repeat; proposed addiction module, with antisense sRNA rdlD	Q6BF25	b4453
EG14407	yjdP	None	putative periplasmic protein	Null	Predicted periplasmic protein, function unknown	Q6BEX5	b4487
EG14409	yjhV'	None	pseudogene, KpLE2 phage-like element	Null	Pseudogene, C-terminal fragment	Q47719	b4286
EG14411	torI	None	response regulator inhibitor for tor operon	Null	Inhibitor of TorR response regulator, CPS-53/KpLE1 exisionase; blocks torABC transcription	Q2EES9	b4501
EG14413	yceQ	None	uncharacterized protein	Null	Function unknown	P62066	b1085
EG14414	croE	ymfT	e14 prophage; putative DNA-binding transcriptional regulator	Phage or Prophage Related	Cro-like repressor, e14 prophage	P75975	b1146
EG14415	ymgG	None	UPF0757 family protein	Null	UPF0757 family protein, function unknown; glycine-rich	Q7DFV3	b1172
EG14417	yoaI	None	uncharacterized protein	Null	Function unknown	P76239	b1788
EG14418	insX'	ykgN	pseudogene, IS3 family transposase family	Null	Pseudogene, IS3 family transposase, ISX' in CP4-6 prophage; N-terminal fragment	Q79E92	b4505
EG14419	ybfQ'	None	pseudogene, H repeat-associated protein	Null	Pseudogene, H repeat-associated protein, RhsC-linked; putative defective transposase	Q2EEQ8	b4514
EG14420	ymjC'	None	pseudogene	Null	Pseudogene, N-terminal fragment	Q2EER5	b4525
EG14421	hicA	yncN	mRNA interferase toxin of the HicAB toxin-antitoxin system	Null	mRNA interferase toxin of hicAB TA pair; required for swarming phenotype	P76106	b4532
EG14422	ynfO	None	uncharacterized protein, Qin prophage	Phage or Prophage Related	Function unknown, Qin prophage	Q2EES0	b4533
EG14423	yniD	None	uncharacterized protein	Null	Expressed protein, function unknown	Q2EES1	b4535
EG14424	yobH	None	uncharacterized protein	Null	Function unknown	Q2MB16	b4536
EG14425	yoeF'	None	pseudogene, CP4-44 putative prophage remnant	Phage or Prophage Related	Pseudogene, CP4-44 putative defective prophage; C-terminal fragment	Q2EES3	b4538
EG14426	yohO	None	putative membrane protein	Null	Predicted membrane protein, function unknown	Q2EES6	b4542
EG14427	ypaA'	None	pseudogene, C-terminal fragment, Transposase_31 family	Null	Pseudogene, C-terminal fragment, Transposase_31 family	V9HVX0	b4543
EG14428	ypdJ'	None	exisonase remnant	Null	Pseudogene, exisonase fragment, CPS-53/KpLE1 prophage	Q2EET0	b4545
EG14429	yicS	None	putative periplasmic protein	Null	Predicted periplasmic protein, function unknown	Q2M7X4	b4555
EG14430	yjhX	None	UPF0386 family protein	Null	UPF0386 family protein, function unknown	Q2EEU2	b4566
EG14431	dinQ	None	UV-inducible membrane toxin, DinQ-AgrB type I toxin-antitoxin system	Null	UV-inducible membrane toxin; DinQ-AgrB type I toxin-antitoxin system	A5A624	b4613
EG14432	ykgO	rpmJ2	RpmJ-like protein	Null	Expressed protein, function unknown, RpmJ paralog	Q2EEQ2	b4506
EG14433	ykgP'	None	pseudogene, oxidoreductase family	Null	Pseudogene, oxidoreductase fragment	Null	b4630
EG14434	yzgL'	None	pseudogene, periplasmic solute binding protein homology	Null	Pseudogene, C-terminal solute binding domain	P76692	b3427
EG14435	ttcC'	None	pseudogene, prophage Rac integration site ttcA duplication	Phage or Prophage Related	Pseudogene, prophage Rac integration site ttcA duplication	Null	b4638
EG14436	mokA'	None	pseudogene, overlapping regulatory peptide, enables hokB	Null	Pseudogene, overlapping regulatory peptide, enables hokB; first 11 aa deleted by IS150 insertion	Null	b4647
EG14437	yibU'	None	pseudogene, H repeat-associated protein	Null	Pseudogene reconstruction, H repeat-associated protein; rhsA-linked	Null	b4652
EG14438	yibV'	None	pseudogene, putative cryptic Rhs immunity protein	Null	Pseudogene reconstruction, predicted cryptic Rhs immunity protein; antitoxin in Rhs polymorphic toxin system	A5A625	b4615
EG14439	yibW'	None	pseudogene, rhsA-linked	Null	Pseudogene reconstruction, rhsA-linked	Null	b4651
EG14440	yoeG'	None	pseudogene, CP4-44 putative prophage remnant	Phage or Prophage Related	Pseudogene reconstruction, CP4-44 putative defective prophage; N-terminal fragment	Null	b4640
EG14441	yoeH'	None	pseudogene, CP4-44 putative prophage remnant	Phage or Prophage Related	Pseudogene, CP4-44 putative defective prophage; C-terminal fragment	Null	b4641
EG14442	yjhY'	None	pseudogene, zinc finger protein family	Null	Pseudogene reconstruction, novel zinc finger family protein	Null	b4656
EG14443	ykgQ'	None	pseudogene, putative dehydrogenase	Null	Pseudogene, C-terminal fragment of a putative dehydrogenase	Null	b4631
EG14444	ylcI	None	DUF3950 family protein, DLP12 prophage	Phage or Prophage Related	DUF3950 family protein, DLP12 prophage	A5A607	b4589
EG14447	yjhZ'	None	pseudogene, rimK paralog, C-terminal fragment	Null	Pseudogene reconstruction, predicted acetyltransferase	Null	b4657
EG14448	yicT'	erhM, rhuM(S.t.)	pseudogene	Null	Pseudogene, N-terminal fragment	Null	b4653
EG14449	ymgI	None	uncharacterized protein	Null	Uncharacterized protein	A5A611	b4593
EG14450	ymgJ	None	uncharacterized protein	Null	Uncharacterized protein	A5A612	b4594
EG14451	ykfM	None	lethality reduction protein, putative inner membrane protein	Null	Lethality reduction protein, predicted membrane protein	A5A605	b4586
EG14452	yjdQ'	None	pseudogene, P4-like integrase remnant	Null	Pseudogene reconstruction, P4-like integrase remnant; C-terminal fragment	Null	b4654
EG14454	ykfN'	None	pseudogene, YdiA family	Null	Pseudogene, N-terminal remnant, YdiA family	Null	b4626
EG14455	ysaC'	None	pseudogene	Null	Pseudogene, C-terminal remnant	Null	b4648
EG14456	ysaD'	None	pseudogene, internal sequence remnant	Null	Pseudogene, internal sequence remnant	Null	b4649
EG14459	yjbT	None	putative periplasmic protein	Null	Predicted periplasmic protein, function unknown	A5A628	b4620
EG14460	yciZ	deoL	uncharacterized protein	Null	UPF0509 family protein	A5A614	b4596
EG14462	ydgU	None	stationary phase-induced protein	Null	Stationary phase expressed protein, function unknown	A5A617	b4601
EG14463	ymiA	None	uncharacterized protein	Null	Predicted membrane protein, function unknown	P0CB62	b4522
EG14464	ythA	None	uncharacterized protein	Null	Expressed protein, function unknown	A8DYQ1	b4655
EG14465	uof	None	ryhB-regulated fur leader peptide	Null	RyhB-regulated Fur regulatory leader peptide	A8DYP9	b4637
EG14466	safA	yneN	two-component system connector membrane protein, EvgSA to PhoQP	Regulator; Global regulatory functions	Two-component system connector protein, EvgSA to PhoQP; TCS regulon connector; EvgSA-regulated membrane protein that activates the PhoQP regulon	P76136	b1500
EG14467	sgrT	None	inhibitor of glucose uptake	Null	Inhibitor of glucose uptake	C1P5Z7	b4662
EG14468	azuC	IS092, isrB	acid-inducible small membrane-associated protein	Null	Acid-inducible small membrane-associated protein	C1P605	b4663
EG14469	ibsD	None	toxic membrane protein	Null	Toxic membrane protein, in SIBd repeat	C1P616	b4664
EG14470	ibsC	None	toxic membrane protein	Null	Toxic membrane protein, in SIBc repeat	C1P615	b4665
EG14471	ibsE	None	toxic membrane protein	Null	Toxic membrane protein, in SIBe repeat	C1P617	b4666
EG14472	ibsA	None	toxic membrane protein	Null	Toxic membrane protein, in SIBa repeat	C1P607	b4667
EG14473	ibsB	None	toxic membrane protein	Null	Toxic membrane protein, in SIBb repeat	C1P608	b4668
EG14474	ilvX	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P619	b4669
EG14475	yjeV	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P621	b4670
EG14476	ykgR	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P5Z8	b4671
EG14477	ymiB	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P5Z9	b4672
EG14478	ymjD'	None	pseudogene fragment, MhpC family	Null	Expressed deletion pseudogene fusion remnant protein	P0CD93	b4673
EG14479	ynbG	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P600	b4674
EG14480	yoaJ	None	inner membrane-associated protein	Null	Expressed protein, membrane-associated, function unknown	C1P603	b4675
EG14481	yoaK	None	inner membrane-associated protein	Null	Expressed protein, membrane-associated, function unknown	C1P602	b4676
EG14482	yobI	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P604	b4677
EG14483	yoeI	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P606	b4678
EG14484	yohP	None	uncharacterized protein	Null	Expressed protein, membrane-associated, function unknown	C1P609	b4679
EG14485	ypdK	None	inner membrane protein	Null	Highly expressed membrane protein, function unknown	C1P610	b4680
EG14487	yqcG	None	membrane stress resistance protein	Null	Membrane stress resistance protein	C1P612	b4682
EG14488	yqeL	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P613	b4683
EG14489	yqfG	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P614	b4684
EG14490	yrbN	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P618	b4685
EG14491	yshB	None	uncharacterized protein	Null	Expressed protein, function unknown	C1P620	b4686
EG14492	ykgS'	None	pseudogene	Null	Pseudogene internal fragment; CP4-6 putative prophage remnant	Null	b4688
EG14493	rzoQ	Rz1	putative Rz1-like lipoprotein, Qin prophage	Null	Probable Rz1-like lipoprotein, Qin prophage	C1P601	b4689
EG14494	shoB	ryfB, yphI	toxic membrane protein	Null	Toxic membrane protein antisense regulated by ohsC	C1P611	b4687
EG14495	oweE'	None	pseudogene, lambda replication protein O homolog; CPS-53/KpLE1 prophage	Phage or Prophage Related	Pseudogene, lambda replication protein O homolog; e14 prophage	Null	b4692
EG14496	ykgT'	yagP	pseudogene, MobA-related	Null	Pseudogene, MobA/GlmU-related, fragment	Null	b4695
EG14497	yrdF'	None	pseudogene, conserved protein	Null	Pseudogene, N-terminal fragment	Null	b4697
EG14498	mgtL	None	regulatory leader peptide for mgtA	Null	Regulatory leader peptide for mgtA	E2JKY7	b4702
EG14499	pmrR	None	putative membrane-bound BasS regulator	Null	Probable regulator of BasS activity, membrane protein	G3MTW7	b4703
EG14500	mntS	rybA	Mn(2)-response protein, MntR-repressed	Null	MntR-repressed Mn(2)-response protein; MntS overexpression causes Mn(2)-sensitivity	P0DKB3	b4705
EG14501	iroK	None	3-hydroxypropionic acid resistance peptide	Null	3-hydroxypropionic acid resistance peptide	U3PVA8	b4706
EG20005	oriC	None	Null	Null	Origin of chromosomal DNA replication, bidirectional	Null	b4489
EG20044	dctA	out(S.t.)	C4-dicarboxylic acid, orotate and citrate transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylic acid, orotate and citrate transporter; 3-fluoromalate resistance, D-tartrate resistant; uptake of D-malate	P0A830	b3528
EG20050	dgoD	yidU	D-galactonate dehydratase	Enzyme; Degradation of small molecules: Carbon compounds	D-galactonate dehydratase	Q6BF17	b4478
EG20080	glcB	glc	malate synthase G	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Malate synthase G	P37330	b2976
EG20091	gpsA	None	glycerol-3-phosphate dehydrogenase (NAD+)	Enzyme; Energy metabolism, carbon: Aerobic respiration	sn-Glycerol-3-phosphate dehydrogenase [NAD(P)+]	P0A6S7	b3608
EG20098	hpt	None	hypoxanthine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Hypoxanthine phosphoribosyltransferase	P0A9M2	b0125
EG20110	kefB	trkB	potassium:proton antiporter	Transport; Transport of small molecules: Cations	NEM-activatable K+/H+ antiporter	P45522	b3350
EG20145	nanT	None	sialic acid transporter	Transport; Murein sacculus, peptidoglycan	Sialic acid transporter	P41036	b3224
EG20151	nfsB	dprA, nfnB, nfsI(S.t.), ntr	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	Enzyme; Drug/analog sensitivity	Nitroreductase B, oxygen-insensitive, NAD(P)H, FMN-dependent; minor; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; monomeric or homodimeric	P38489	b0578
EG20173	pta	None	phosphate acetyltransferase	Enzyme; Degradation of small molecules: Carbon compounds	Phosphate acetyltransferase, produces acetyl phosphate; creBC regulon; alkali-inducible; binds Zn(II)	P0A9M8	b2297
EG20205	shiA	yeeM	shikimate transporter	Putative transport; Not classified	Shikimate and dehydroshikimate permease	P76350	b1981
EG20227	thiL	None	thiamine monophosphate kinase	Enzyme; Biosynthesis of cofactors, carriers: Thiamine	Thiamine monophosphate kinase, involved in thiamine salvage	P0AGG0	b0417
EG20248	uxuB	None	D-mannonate oxidoreductase, NAD-dependent	Enzyme; Degradation of small molecules: Carbon compounds	D-mannonate oxidoreductase, NAD-dependent; glucuronate branch of hexuronate pathway	P39160	b4323
EG20249	uxuR	None	fructuronate-inducible hexuronate regulon transcriptional repressor; autorepressor	Regulator; Degradation of small molecules: Carbon compounds	Repressor for UxuR regulon; true inducer is fructuronate	P39161	b4324
EG20250	xapA	pndA	purine nucleoside phosphorylase 2; nicotinamide 1-beta-D-riboside synthase	Enzyme; Central intermediary metabolism: Nucleotide interconversions	Xanthosine phosphorylase; purine nucleoside phosphorylase 2, PNP-II; inosine-guanosine phosphorylase; nicotinamide salvage enzyme nicotinamide 1-beta-D-riboside synthase; hexameric	P45563	b2407
EG20252	xylF	xylT	D-xylose transporter subunit	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Periplasmic xylose-binding protein, transport system	P37387	b3566
EG20253	xylR	None	xylose divergent operon transcriptional activator	Putative regulator; Degradation of small molecules: Carbon compounds	Transcriptional activator for the xylAB-xylFGHR divergent operons; AraC family	P0ACI3	b3569
EG20254	sapA	None	antimicrobial peptide transport ABC transporter periplasmic binding protein	Putative transport; Not classified	Antimicrobial peptide ABC transporter periplasmic binding protein	Q47622	b1294
EG20255	sapB	None	antimicrobial peptide transport ABC transporter permease	Putative transport; Not classified	Antimicrobial peptide ABC transporter permease	P0AGH3	b1293
EG20256	sapC	None	antimicrobial peptide transport ABC transporter permease	Putative transport; Not classified	Antimicrobial peptide ABC transporter permease	P0AGH5	b1292
EG20257	nrdE	None	ribonucleoside-diphosphate reductase 2, alpha subunit	Enzyme; Central intermediary metabolism: Nucleotide interconversions	Ribonucleoside-diphosphate reductase 2, alpha subunit; class Ib aerobic ribonucleotide reductase	P39452	b2675
EG20260	mokB	None	regulatory peptide	Null	Overlapping regulatory peptide, enables hokB expression	P76096	b1420
EG20263	flgA	flaU	assembly protein for flagellar basal-body periplasmic P ring	Putative structure; Surface structures	Flagellar basal body P-ring formation	P75933	b1072
EG20264	flgH	flaY	flagellar protein of basal-body outer-membrane L ring	Structural component; Surface structures	Flagellar synthesis, basal body L-ring lipoprotein	P0A6S0	b1079
EG20265	flgI	flaM	putative flagellar basal body protein	Putative structural component; Surface structures	Basal body P-ring flagellar protein	P0A6S3	b1080
EG20266	fliI	flaC	flagellum-specific ATP synthase	Enzyme; Surface structures	Cytoplasmic membrane ATPase involved in flagellar assembly; involved in export of flagellar axial protein subunits	P52612	b1941
EG20267	fliJ	flaO	flagellar protein	Structural component; Surface structures	Flagellin export apparatus soluble chaperone	P52613	b1942
EG20268	fliK	flaE	flagellar hook-length control protein	Structural component; Surface structures	Hook filament junction; controls hook length	P52614	b1943
EG20273	mhpA	None	3-(3-hydroxyphenyl)propionate hydroxylase	Enzyme; Degradation of small molecules: Carbon compounds	3-(3-Hydroxyphenyl)propionate 2-hydroxylase; utilizes MHP	P77397	b0347
EG20274	mhpB	None	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	Enzyme; Degradation of small molecules: Carbon compounds	3-(2,3-Dihydroxyphenyl)propionate dioxygenase; utilizes MHP	P0ABR9	b0348
EG20275	mhpC	None	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	Dihydroxyphenylpropionate-ring-fission-product hydrolase; 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase; utilizes MHP	P77044	b0349
EG20276	mhpR	None	mhp operon transcriptional activator	Regulator; Not classified	Transcriptional activator, mhp operon; utilizes MHP	P77569	b0346
EG20283	rusA	rus, ybcP	DLP12 prophage; endonuclease RUS	Enzyme; Degradation of DNA; Phage or Prophage Related	Endonuclease, Holliday structure resolvase, DLP12 prophage	P0AG74	b0550
EG30008	alaT	talA	Null	Null	Alanine tRNA(UGC) 1B	Null	b3853
EG30009	alaU	talD	Null	Null	Alanine tRNA(UGC) 1B	Null	b3276
EG30010	alaV	None	Null	Null	Alanine tRNA(UGC) 1B	Null	b0203
EG30011	alaW	alaWalpha	Null	Null	Alanine tRNA(GGC) 2; tandemly duplicated	Null	b2397
EG30012	alaX	alaWbeta	Null	Null	Alanine tRNA(GGC) 2; tandemly duplicated alaW	Null	b2396
EG30013	argQ	argVdelta	Null	Null	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	b2691
EG30014	argU	dnaY, fimU(S.t.), pin	Null	Null	Arginine tRNA(UCU) 4	Null	b0536
EG30015	argV	argValpha	Null	Null	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	b2694
EG30016	argW	None	Null	Null	Arginine tRNA(CCU) 5	Null	b2348
EG30017	argX	None	Null	Null	Arginine tRNA(CCG) 3	Null	b3796
EG30018	argY	argVbeta	Null	Null	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	b2693
EG30019	argZ	argVgamma	Null	Null	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	b2692
EG30020	asnT	None	Null	Null	Asparagine tRNA(GUU)	Null	b1977
EG30021	asnU	None	Null	Null	Asparagine tRNA(GUU)	Null	b1986
EG30022	asnV	None	Null	Null	Asparagine tRNA(GUU)	Null	b1989
EG30023	aspT	tasC	Null	Null	Aspartate tRNA(GUC) 1 triplicated gene	Null	b3760
EG30024	aspU	None	Null	Null	Aspartate tRNA(GUC) 1 triplicated gene	Null	b0206
EG30025	aspV	None	Null	Null	Aspartate tRNA(GUC) 1 triplicated gene	Null	b0216
EG30026	cysT	None	Null	Null	Cysteine tRNA(GCA)	Null	b1910
EG30027	ffs	None	Null	Null	4.5S sRNA component of Signal Recognition Particle (SRP); works with the Ffh protein; involved in co-translational protein translocation into and possibly through membranes	Null	b0455
EG30028	glnU	glnUalpha, supB	Null	Null	Glutamine tRNA(UUG) 1	Null	b0670
EG30029	glnV	glnValpha, Su2, suII, supE	Null	Null	Glutamine tRNA(CUG) 2	Null	b0665
EG30030	glnW	glnUbeta	Null	Null	Glutamine tRNA(UUG) 1	Null	b0668
EG30031	glnX	glnVbeta, supE	Null	Null	Glutamine tRNA(CUG) 2	Null	b0664
EG30032	gltT	tgtB	Null	Null	Glutamate tRNA(UUC) 2	Null	b3969
EG30033	gltU	tgtC	Null	Null	Glutamate tRNA(UUC) 2	Null	b3757
EG30034	gltV	tgtE	Null	Null	Glutamate tRNA(UUC) 2	Null	b4008
EG30035	gltW	None	Null	Null	Glutamate tRNA(UUC) 2	Null	b2590
EG30036	glyT	sumA, sup15B, supA36	Null	Null	Glycine tRNA(UCC) 2, UGA suppression	Null	b3978
EG30037	glyU	suA36, sufD, sumB, supT	Null	Null	Glycine tRNA(CCC) 1	Null	b2864
EG30038	glyV	glyValpha, ins, suA58, suA78	Null	Null	Glycine tRNA(GCC) 3	Null	b4163
EG30039	glyW	ins, mutC, suA58, suA78	Null	Null	Glycine tRNA(GCC) 3	Null	b1911
EG30040	glyX	glyVbeta, mutA	Null	Null	Glycine tRNA(GCC) 3	Null	b4164
EG30041	glyY	glyVgamma	Null	Null	Glycine tRNA(GCC) 3	Null	b4165
EG30042	hisR	None	Null	Null	Histidine tRNA(GUG)	Null	b3797
EG30043	ileT	tilA	Null	Null	Isoleucine tRNA(GAU) 1, triplicate	Null	b3852
EG30044	ileU	tilD	Null	Null	Isoleucine tRNA(GAU) 1, triplicate	Null	b3277
EG30045	ileV	None	Null	Null	Isoleucine tRNA(GAU) 1, triplicate	Null	b0202
EG30046	ileX	None	Null	Null	Isoleucine tRNA(CAU) 2	Null	b3069
EG30047	leuP	leuVbeta	Null	Null	Leucine tRNA(CAG) 1; tandemly triplicate leuVPQ, duplicate with leuT	Null	b4369
EG30048	leuQ	leuVgamma	Null	Null	Leucine tRNA(CAG) 1; tandemly triplicate, and duplicate with leuT	Null	b4370
EG30049	leuT	None	Null	Null	Leucine tRNA(CAG) 1, duplicate with leuVPQ	Null	b3798
EG30050	leuU	None	Null	Null	Leucine tRNA(UAG) 2	Null	b3174
EG30051	leuV	leuValpha	Null	Null	Leucine tRNA(CAG) 1, tandemly triplicate leuVPQ, duplicate with leuT	Null	b4368
EG30052	leuW	feeB	Null	Null	Leucine tRNA(CAA) 3; anticodon has cmo(5)U	Null	b0672
EG30053	leuX	Su-6, supP	Null	Null	Leucine tRNA(UAA) 5	Null	b4270
EG30054	leuZ	None	Null	Null	Leucine tRNA(GAG) 4	Null	b1909
EG30055	lysT	lysTalpha, sua, supG, supL	Null	Null	Lysine tRNA(UUU)	Null	b0743
EG30056	lysV	supN	Null	Null	Lysine tRNA(UUU)	Null	b2404
EG30057	lysW	lysTbeta, su	Null	Null	Lysine tRNA(UUU)	Null	b0745
EG30058	metT	metTalpha	Null	Null	Methionine tRNA(CAU) m; duplicate gene	Null	b0673
EG30059	metU	metTbeta	Null	Null	Methionine tRNA(CAU) m; duplicate gene	Null	b0666
EG30060	metV	metX, metZbeta	Null	Null	Initiator methionine tRNA(CAU) f1; triplicate gene	Null	b2816
EG30061	metY	None	Null	Null	Initiator methionine tRNA(CAU) f2	Null	b3171
EG30062	metZ	metZalpha	Null	Null	Initiator methionine tRNA(CAU) f1; triplicate gene	Null	b2814
EG30063	micF	IS113, stc	Null	Null	Regulatory antisense sRNA affecting ompF expression; member of soxRS regulon	Null	b4439
EG30064	pheU	pheR, pheW	Null	Null	Phenylalanine tRNA(GAA)	Null	b4134
EG30065	pheV	pheC	Null	Null	Phenylalanine tRNA(GAA)	Null	b2967
EG30066	proK	proV	Null	Null	Proline tRNA(CGG) 1	Null	b3545
EG30067	proL	proW	Null	Null	Proline tRNA(GGG) 2	Null	b2189
EG30068	proM	proU	Null	Null	Proline tRNA(UGG) 3	Null	b3799
EG30069	rnpB	None	Null	Null	RNase P, M1 RNA enzyme component; involved in transfer RNA and 4.5S RNA-processing	Null	b3123
EG30070	rrfA	None	Null	Null	5S rRNA of rrnA operon	Null	b3855
EG30071	rrfB	None	Null	Null	5S rRNA of rrnB operon	Null	b3971
EG30072	rrfC	None	Null	Null	5S rRNA of rrnC operon	Null	b3759
EG30073	rrfD	None	Null	Null	5S rRNA of rrnD operon	Null	b3274
EG30074	rrfE	None	Null	Null	5S rRNA of rrnE operon	Null	b4010
EG30075	rrfG	None	Null	Null	5S rRNA of rrnG operon	Null	b2588
EG30076	rrfH	None	Null	Null	5S rRNA of rrnH operon	Null	b0205
EG30077	rrlA	None	Null	Null	23S rRNA of rrnA operon	Null	b3854
EG30078	rrlB	None	Null	Null	23S rRNA of rrnB operon	Null	b3970
EG30079	rrlC	None	Null	Null	23S rRNA of rrnC operon	Null	b3758
EG30080	rrlD	None	Null	Null	23S rRNA of rrnD operon	Null	b3275
EG30081	rrlE	None	Null	Null	23S rRNA of rrnE operon	Null	b4009
EG30082	rrlG	None	Null	Null	23S rRNA of rrnG operon	Null	b2589
EG30083	rrlH	None	Null	Null	23S rRNA of rrnH operon	Null	b0204
EG30084	rrsA	None	Null	Null	16S rRNA of rrnA operon	Null	b3851
